SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
2, 140, 5, 13.625909822954, Accidental, 
2, 140, 0, 13.625909822954, Lightning, 
2, 141, 5, 13.2921309111462, Accidental, 
2, 141, 0, 13.2921309111462, Lightning, 
2, 142, 5, 13.0040097553542, Accidental, 
2, 142, 0, 13.0040097553542, Lightning, 
2, 143, 5, 14.8917483427805, Accidental, 
2, 143, 0, 14.8917483427805, Lightning, 
2, 144, 5, 13.995636986126, Accidental, 
2, 144, 0, 13.995636986126, Lightning, 
2, 145, 5, 13.9283894463076, Accidental, 
2, 145, 0, 13.9283894463076, Lightning, 
2, 146, 5, 13.8308879501557, Accidental, 
2, 146, 0, 13.8308879501557, Lightning, 
2, 147, 5, 14.2579908456879, Accidental, 
2, 147, 0, 14.2579908456879, Lightning, 
2, 148, 5, 16.7353805128831, Accidental, 
2, 148, 0, 16.7353805128831, Lightning, 
2, 148, 1, 16.7353805128831, Rx, 
2, 149, 5, 14.8216095659305, Accidental, 
2, 149, 0, 14.8216095659305, Lightning, 
2, 150, 5, 14.1462172511712, Accidental, 
2, 150, 0, 14.1462172511712, Lightning, 
2, 151, 5, 12.3757160721783, Accidental, 
2, 151, 0, 12.3757160721783, Lightning, 
2, 152, 5, 15.3750885870105, Accidental, 
2, 152, 1, 15.3750885870105, Rx, 
2, 153, 4, 19.8170652935783, Accidental, 
2, 153, 1, 19.8170652935783, Rx, 
2, 154, 5, 13.9051130967029, Accidental, 
2, 155, 5, 16.1245762548045, Accidental, 
